Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","056","Belgium","5910","Export Quantity","02211","Raw milk of cattle","2016","2016","tonnes","616019","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5910","Export Quantity","02211","Raw milk of cattle","2017","2017","tonnes","704436","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5910","Export Quantity","02211","Raw milk of cattle","2018","2018","tonnes","629040","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5910","Export Quantity","02211","Raw milk of cattle","2019","2019","tonnes","665841","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5910","Export Quantity","02211","Raw milk of cattle","2020","2020","tonnes","666445","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5922","Export Value","02211","Raw milk of cattle","2000","2000","1000 US$","211986","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5922","Export Value","02211","Raw milk of cattle","2001","2001","1000 US$","237238","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5922","Export Value","02211","Raw milk of cattle","2002","2002","1000 US$","238567","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5922","Export Value","02211","Raw milk of cattle","2003","2003","1000 US$","256519","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5922","Export Value","02211","Raw milk of cattle","2004","2004","1000 US$","266556","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5922","Export Value","02211","Raw milk of cattle","2005","2005","1000 US$","219717","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5922","Export Value","02211","Raw milk of cattle","2006","2006","1000 US$","234008","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5922","Export Value","02211","Raw milk of cattle","2007","2007","1000 US$","319503","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5922","Export Value","02211","Raw milk of cattle","2008","2008","1000 US$","358400","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5922","Export Value","02211","Raw milk of cattle","2009","2009","1000 US$","310670","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5922","Export Value","02211","Raw milk of cattle","2010","2010","1000 US$","353057","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5922","Export Value","02211","Raw milk of cattle","2011","2011","1000 US$","390032","A","Official figure"
