Variable:,pr
,Cuba,Camaguey,"Ciego De Avila",Cienfuegos,"Ciudad De La Habana",Granma,Guantanamo,Holguin,"Isla De La Juventud","La Habana","Las Tunas",Matanzas,"Pinar Del Rio","Sancti Spiritus","Santiago De Cuba","Villa Clara"
1996,1452.20,1515.95,1526.45,1542.98,1446.42,1350.96,1267.91,1286.48,1361.44,1487.63,1258.66,1495.26,1388.78,1643.42,1471.49,1597.69
1997,1257.51,1222.20,1248.10,1379.13,1452.04,1035.69,994.76,1008.47,1397.35,1459.27,1029.86,1368.59,1535.25,1399.53,1136.85,1412.81
1998,1219.01,1000.22,953.60,1294.78,1486.02,1128.70,1132.87,1057.79,1509.52,1501.56,972.09,1348.76,1633.82,1181.53,1291.27,1287.88
1999,1294.69,1354.65,1311.65,1456.05,1558.91,1185.96,790.95,937.09,1323.05,1510.06,1088.85,1477.08,1384.66,1438.40,1174.79,1484.74
2000,1222.54,1178.99,1191.87,1307.16,1308.91,1089.93,1064.52,1062.03,1322.93,1349.59,1018.32,1276.30,1428.83,1335.20,1216.32,1332.32
2001,1489.93,1365.13,1384.81,1653.78,1744.15,1247.83,1354.44,1263.21,1589.47,1752.52,1177.95,1744.49,1658.97,1619.84,1446.26,1649.99
2002,1407.25,1310.98,1305.36,1434.24,1640.79,1166.88,1052.92,1064.56,1924.73,1780.53,1101.32,1525.47,2091.51,1442.57,1269.12,1443.94
2003,1411.07,1214.65,1143.26,1510.90,1650.31,1274.49,1393.41,1262.32,1576.51,1694.46,1117.75,1625.72,1674.35,1404.28,1476.40,1498.26
2004,1117.99,905.25,869.63,1306.12,1405.88,992.65,914.04,864.18,1372.19,1415.00,853.28,1352.92,1440.28,1174.12,1109.69,1260.02
2005,1681.25,1441.04,1342.23,1750.45,1949.52,1557.82,1698.79,1463.12,1959.13,2040.14,1402.55,1869.36,2130.76,1641.85,1801.91,1645.58
2006,1251.93,1201.68,1171.53,1315.06,1389.11,1097.18,1006.99,1066.81,1462.54,1465.32,1038.15,1338.61,1559.52,1327.13,1195.80,1332.27
2007,1739.91,2013.05,1891.84,1564.77,1362.85,1848.92,1916.31,1813.18,1356.22,1412.46,1759.40,1426.48,1442.08,1876.55,2061.89,1611.40
2008,1483.05,1482.06,1443.47,1643.17,1647.09,1375.18,1159.86,1252.51,1482.71,1623.62,1297.46,1642.06,1530.86,1652.85,1446.61,1609.06
2009,1206.29,1327.88,1303.80,1243.02,1194.62,1092.36,973.72,1054.70,1196.81,1214.33,1068.41,1186.98,1210.98,1377.05,1173.80,1315.06
2010,1561.42,1645.34,1411.33,1451.06,1424.73,1796.10,1595.59,1475.60,1407.15,1467.00,1549.09,1413.56,1504.16,1553.95,1905.28,1446.64
2011,1430.36,1565.60,1380.46,1338.38,1273.70,1624.79,1399.09,1392.73,1242.62,1271.46,1472.29,1243.82,1304.28,1465.47,1732.95,1355.78
2012,1486.79,1380.84,1362.39,1539.05,1723.43,1325.65,1290.05,1181.05,1674.38,1814.94,1204.03,1669.40,1849.26,1542.16,1467.69,1556.96
2013,1394.73,1227.23,1299.12,1637.95,1901.79,1069.66,724.49,839.29,1860.52,1978.50,963.06,1814.54,1999.77,1560.73,1066.93,1615.25
2014,1354.01,1278.85,1180.85,1311.85,1459.57,1251.84,1391.07,1334.31,1530.08,1485.17,1194.41,1319.26,1650.66,1314.39,1489.06,1331.49
2015,1157.09,1139.78,1192.26,1263.80,1286.86,942.81,946.59,982.97,1296.67,1299.23,931.65,1207.14,1397.01,1292.51,1073.38,1299.51
2016,1304.87,1292.30,1282.20,1380.70,1442.12,1167.10,1218.11,1160.81,1319.31,1414.63,1098.11,1379.36,1413.84,1401.15,1321.05,1391.35
2017,1554.20,1669.50,1497.33,1482.73,1498.04,1622.44,1459.85,1448.07,1432.79,1517.90,1489.71,1468.98,1531.36,1608.83,1748.66,1522.77
2018,1320.23,1222.22,1273.60,1408.33,1486.49,1086.97,1026.31,1059.79,1604.68,1609.10,1012.39,1485.10,1735.82,1428.83,1225.60,1434.79
2019,1371.29,1470.62,1493.65,1410.97,1300.48,1281.44,1270.92,1257.60,1257.31,1296.63,1237.21,1300.57,1339.06,1579.42,1433.93,1447.50
2020,1548.30,1354.80,1339.81,1642.19,1961.19,1331.04,1345.18,1304.83,1857.61,1983.27,1190.94,1834.80,1945.84,1544.71,1498.00,1654.72
2021,1179.39,1215.55,1114.86,1195.18,1175.59,1217.39,1051.23,1042.59,1153.79,1203.07,1088.45,1158.95,1206.57,1232.91,1311.68,1214.75
